timestamp,pressure_Pa
2025/08/25-18:19:58,0.7943282347242789
2025/08/25-18:20:00,0.7943282347242789
2025/08/25-18:21:00,0.7943282347242789
2025/08/25-18:22:00,0.7943282347242789
2025/08/25-18:23:00,0.7943282347242789
2025/08/25-18:24:00,0.7943282347242789
2025/08/25-18:25:00,0.7943282347242789
2025/08/25-18:26:00,0.7943282347242789
2025/08/25-18:27:00,0.7943282347242789
2025/08/25-18:28:00,0.7943282347242789
2025/08/25-18:29:00,0.7943282347242789
2025/08/25-18:30:00,0.7943282347242789
2025/08/25-18:31:00,0.7943282347242789
2025/08/25-18:32:00,0.7943282347242789
2025/08/25-18:33:00,0.7943282347242789
2025/08/25-18:34:00,0.7943282347242789
2025/08/25-18:35:00,0.7943282347242789
2025/08/25-18:36:00,0.7943282347242789
2025/08/25-18:37:00,0.7943282347242789
2025/08/25-18:38:00,0.7943282347242789
